0	8199	8144	8194	8227	8194	8255	
1	8202	8147	8194	8225	8188	8255	
2	8201	8149	8199	8226	8187	8255	
3	8199	8147	8197	8226	8191	8254	
4	8203	8150	8199	8223	8190	8254	
5	8197	8147	8195	8225	8191	8254	
6	8199	8149	8194	8229	8190	8254	
7	8204	8147	8194	8225	8191	8254	
8	8203	8147	8195	8229	8189	8251	
9	8200	8146	8197	8226	8189	8254	
10	8201	8145	8199	8227	8187	8257	
11	8200	8152	8199	8223	8188	8253	
12	8199	8148	8195	8225	8187	8251	
13	8199	8150	8199	8229	8191	8256	
14	8199	8150	8198	8225	8189	8252	
15	8199	8145	8197	8230	8189	8255	
16	8201	8144	8197	8228	8188	8253	
17	8200	8148	8195	8226	8188	8250	
18	8201	8142	8194	8225	8194	8255	
19	8201	8149	8199	8228	8189	8251	
20	8197	8148	8194	8225	8188	8251	
21	8199	8150	8198	8226	8189	8252	
22	8202	8147	8195	8226	8191	8257	
23	8200	8151	8196	8224	8190	8252	
24	8197	8149	8198	8229	8189	8253	
25	8203	8144	8194	8225	8189	8253	
26	8201	8148	8197	8227	8191	8253	
27	8198	8149	8198	8221	8185	8255	
28	8197	8148	8194	8225	8189	8255	
29	8202	8147	8198	8228	8189	8252	
30	8201	8152	8201	8225	8190	8253	
31	8198	8145	8202	8222	8190	8251	
32	8200	8146	8196	8221	8191	8255	
33	8202	8148	8199	8225	8183	8251	
34	8199	8147	8197	8226	8190	8254	
35	8198	8146	8199	8228	8191	8252	
36	8202	8146	8196	8226	8189	8252	
37	8199	8145	8199	8225	8189	8253	
38	8198	8148	8200	8222	8188	8255	
39	8198	8145	8196	8227	8189	8252	
40	8200	8150	8196	8223	8187	8252	
41	8198	8146	8198	8223	8190	8251	
42	8199	8151	8198	8226	8193	8254	
43	8201	8146	8195	8223	8187	8253	
44	8200	8150	8197	8225	8186	8252	
45	8200	8148	8197	8227	8191	8256	
46	8201	8148	8195	8223	8187	8251	
47	8200	8152	8196	8229	8190	8256	
48	8197	8148	8197	8224	8189	8256	
49	8200	8149	8194	8222	8192	8256	
50	8204	8149	8203	8227	8192	8254	
51	8196	8143	8196	8227	8191	8254	
52	8196	8148	8198	8224	8194	8251	
53	8198	8148	8195	8226	8188	8256	
54	8201	8149	8197	8221	8187	8254	
55	8201	8147	8194	8226	8190	8252	
56	8199	8152	8196	8224	8185	8252	
57	8197	8147	8198	8225	8188	8253	
58	8202	8150	8196	8229	8186	8254	
59	8203	8147	8197	8225	8190	8256	
60	8204	8147	8196	8226	8190	8253	
61	8201	8147	8197	8224	8192	8250	
62	8197	8143	8196	8224	8187	8255	
63	8200	8144	8197	8224	8189	8253	
64	8202	8146	8194	8224	8189	8253	
65	8202	8150	8196	8225	8189	8251	
66	8200	8146	8193	8229	8193	8257	
67	8200	8149	8199	8227	8189	8258	
68	8201	8151	8193	8225	8195	8253	
69	8197	8148	8196	8224	8111	8257	
70	8201	8147	8198	8226	8068	8245	
71	8199	8147	8195	8225	7994	8182	
72	8196	8148	8163	8227	7897	8177	
73	8201	8146	8166	8212	7864	8122	
74	8201	8146	8141	8214	7812	8101	
75	8196	8146	8124	8200	7728	8091	
76	8202	8146	8115	8190	7610	8050	
77	8203	8151	8101	8188	7542	7995	
78	8200	8146	8078	8178	7448	7960	
79	8198	8148	8056	8169	7358	7915	
80	8199	8148	8032	8156	7273	7872	
81	8199	8148	8015	8150	7192	7835	
82	8200	8152	7994	8130	7125	7790	
83	8199	8146	7978	8123	7067	7768	
84	8202	8148	7957	8110	7015	7734	
85	8198	8149	7942	8106	6958	7707	
86	8201	8147	7927	8094	6908	7680	
87	8197	8149	7921	8084	6869	7657	
88	8200	8145	7910	8081	6833	7638	
89	8200	8147	7891	8076	6811	7622	
90	8201	8149	7884	8065	6779	7604	
91	8197	8148	7882	8062	6753	7590	
92	8198	8148	7864	8058	6719	7583	
93	8204	8149	7864	8052	6701	7561	
94	8199	8145	7855	8054	6672	7555	
95	8203	8145	7846	8050	6661	7541	
96	8200	8147	7844	8042	6649	7531	
97	8197	8147	7840	8040	6629	7528	
98	8201	8147	7833	8037	6623	7517	
99	8199	8142	7830	8037	6608	7517	
100	8201	8150	7829	8036	6595	7510	
101	8195	8147	7826	8030	6583	7501	
102	8199	8147	7825	8031	6572	7495	
103	8206	8147	7825	8033	6565	7493	
104	8199	8146	7818	8028	6557	7486	
105	8203	8149	7818	8028	6550	7488	
106	8198	8145	7815	8027	6543	7484	
107	8200	8147	7820	8022	6542	7480	
108	8198	8145	7812	8017	6535	7480	
109	8200	8149	7812	8024	6531	7471	
110	8204	8146	7810	8024	6527	7477	
111	8201	8144	7811	8019	6527	7472	
112	8202	8145	7803	8018	6522	7473	
113	8202	8149	7806	8020	6518	7468	
114	8204	8147	7806	8017	6517	7464	
115	8196	8144	7805	8020	6513	7467	
116	8201	8147	7805	8018	6514	7463	
117	8201	8146	7803	8020	6508	7465	
118	8196	8142	7799	8017	6517	7464	
119	8202	8149	7802	8017	6510	7464	
120	8200	8149	7801	8018	6510	7461	
121	8204	8147	7803	8016	6506	7460	
122	8200	8146	7803	8022	6509	7463	
123	8203	8148	7803	8017	6507	7460	
124	8198	8147	7804	8018	6509	7462	
125	8202	8147	7805	8016	6505	7457	
126	8200	8151	7797	8019	6504	7459	
127	8205	8149	7804	8016	6508	7458	
128	8200	8147	7798	8017	6509	7463	
129	8198	8147	7801	8017	6505	7457	
130	8203	8147	7804	8015	6509	7458	
131	8199	8149	7798	8023	6505	7463	
132	8200	8144	7801	8014	6502	7461	
133	8198	8150	7804	8016	6505	7461	
134	8200	8145	7800	8015	6508	7460	
135	8196	8149	7801	8017	6504	7459	
136	8201	8147	7801	8016	6508	7462	
137	8198	8147	7802	8017	6505	7459	
138	8201	8146	7801	8020	6509	7461	
139	8201	8145	7803	8017	6507	7463	
140	8202	8146	7801	8018	6509	7460	
141	8203	8149	7800	8016	6514	7464	
142	8201	8149	7804	8014	6509	7462	
143	8200	8148	7803	8014	6509	7459	
144	8204	8147	7801	8020	6510	7461	
145	8195	8145	7803	8019	6514	7464	
146	8201	8148	7803	8019	6514	7462	
147	8202	8147	7802	8019	6517	7460	
148	8202	8146	7801	8011	6513	7460	
149	8198	8146	7805	8021	6516	7467	
150	8200	8147	7805	8018	6513	7464	
151	8200	8147	7802	8016	6514	7466	
152	8197	8146	7803	8018	6514	7462	
153	8201	8148	7805	8015	6515	7464	
154	8203	8149	7804	8021	6522	7464	
155	8197	8144	7805	8020	6520	7465	
156	8202	8149	7803	8017	6520	7465	
157	8202	8148	7804	8018	6521	7467	
158	8199	8147	7806	8015	6521	7464	
159	8200	8146	7803	8018	6520	7465	
160	8200	8144	7805	8020	6525	7468	
161	8197	8151	7805	8014	6522	7464	
162	8198	8148	7805	8014	6526	7467	
163	8199	8146	7801	8015	6524	7471	
164	8205	8147	7802	8021	6525	7468	
165	8200	8148	7805	8018	6524	7470	
166	8201	8147	7801	8018	6525	7470	
167	8200	8148	7805	8016	6529	7467	
168	8201	8143	7797	8020	6527	7468	
169	8203	8151	7806	8018	6526	7465	
170	8202	8147	7805	8022	6532	7473	
171	8199	8147	7803	8022	6527	7472	
172	8196	8147	7808	8016	6531	7469	
173	8203	8146	7808	8019	6530	7472	
174	8200	8153	7806	8019	6530	7471	
175	8199	8150	7812	8019	6531	7474	
176	8201	8146	7805	8019	6534	7472	
177	8196	8147	7805	8018	6529	7473	
178	8199	8151	7809	8018	6534	7468	
179	8201	8146	7808	8019	6535	7471	
180	8201	8145	7809	8020	6537	7474	
181	8200	8147	7804	8020	6534	7477	
182	8201	8147	7807	8019	6534	7473	
183	8199	8146	7812	8022	6542	7474	
184	8196	8147	7808	8021	6541	7475	
185	8198	8154	7811	8018	6536	7475	
186	8198	8148	7811	8025	6540	7473	
187	8199	8150	7808	8019	6539	7480	
188	8200	8146	7809	8020	6540	7475	
189	8201	8148	7809	8021	6541	7476	
190	8199	8147	7811	8022	6541	7477	
191	8199	8148	7811	8021	6545	7477	
192	8200	8146	7810	8020	6543	7479	
193	8199	8146	7807	8018	6540	7476	
194	8199	8149	7811	8021	6547	7478	
195	8196	8145	7810	8020	6546	7481	
196	8201	8150	7810	8023	6547	7481	
197	8195	8147	7808	8022	6542	7480	
198	8200	8148	7810	8023	6545	7478	
199	8200	8145	7814	8021	6547	7480	
200	8200	8150	7809	8023	6547	7483	
201	8201	8146	7809	8022	6550	7481	
202	8201	8149	7810	8021	6555	7479	
203	8201	8148	7813	8021	6553	7484	
204	8203	8149	7815	8024	6549	7479	
205	8202	8149	7809	8021	6553	7484	
206	8199	8147	7814	8020	6551	7481	
207	8201	8150	7813	8022	6556	7483	
208	8199	8147	7807	8025	6558	7482	
209	8199	8147	7816	8020	6553	7483	
210	8200	8145	7813	8024	6558	7483	
211	8198	8146	7815	8025	6553	7483	
212	8199	8150	7810	8021	6557	7483	
213	8202	8145	7811	8024	6557	7486	
214	8205	8145	7809	8022	6556	7482	
215	8199	8149	7815	8029	6560	7488	
216	8203	8150	7810	8023	6564	7483	
217	8199	8147	7817	8025	6558	7482	
218	8199	8147	7814	8022	6565	7486	
219	8202	8148	7813	8020	6562	7488	
220	8197	8146	7812	8024	6562	7488	
221	8202	8145	7815	8025	6562	7485	
222	8197	8149	7813	8025	6566	7489	
223	8196	8146	7814	8022	6565	7485	
